station_key,station_id,name,road_name,intersection,lga,suburb,post_code,device_type,wgs84_latitude,wgs84_longitude
56740,22043,Ourimbah Road,Ourimbah Road,Bond Street,Mosman,Mosman,2088.0,Trafficorder Loop Counter,-33.822067,151.238358
57127,53208,Boundary Street,Boundary Street,Ferncourt Avenue,Willoughby,Roseville,2069.0,Trafficorder Loop Counter,-33.784893,151.187454
56613,10032,Oxford Street,Oxford Street,Syd Einfeld Drive,Randwick,Centennial Park,2021.0,Trafficorder Dual Tube Classifier,-33.890221,151.239777
99990010,9836-PR,Victoria Road,Victoria Road,Cressy Road,Ryde,Ryde,2112.0,Tirtl,-33.819687,151.117416
57290,69087,Prospect Highway,Prospect Highway,The Hills Crescent,Blacktown,Seven Hills,2147.0,Trafficorder Loop Counter,-33.774277,150.935242
56663,16130,Gardeners Road,Gardeners Road,Southern Cross Drive,Botany Bay,Eastlakes,2018.0,Trafficorder Loop Counter,-33.924473,151.214676
57078,51024,Victoria Road,Victoria Road,Belmore Lane,Ryde,Ryde,2112.0,Trafficorder Loop Counter,-33.815586,151.101623
15286003,7132,Princes Highway,Princes Highway,The Seven Ways,Rockdale,Rockdale,2216.0,Tirtl,-33.953056,151.137482
55432,03022,Cleveland Street,Cleveland Street,Anzac Parade,Sydney,Moore Park,2021.0,Trafficorder Loop Counter,-33.894791,151.220764
57502,85016,Camden Valley Way,Camden Valley Way,Argyle Street,Camden,Elderslie,2570.0,Trafficorder Loop Counter,-34.054153,150.707245
57168,59025,Barrenjoey Road,Barrenjoey Road,Pittwater Road,Pittwater,Mona Vale,2103.0,Trafficorder Loop Counter,-33.677433,151.304688
56860,32028,Epping Road,Epping Road,Elizabeth Parade,Lane Cove,Lane Cove West,2066.0,Trafficorder Loop Counter,-33.810368,151.16188
57300,70011,Great Western Highway,Great Western Highway,Toongabbie Road,Holroyd,Greystanes,2145.0,Trafficorder Dual Tube Classifier,-33.806572,150.932541
56857,32022,Epping Road,Epping Road,Lane Cove Tunnel,Lane Cove,Lane Cove,2066.0,Trafficorder Loop Counter,-33.812298,151.170197
57462,83011,Campbelltown Road,Campbelltown Road,Blaxland Road,Campbelltown,Leumeah,2560.0,Excel Lpl,-34.050945,150.825409
15334014,T0085,Galston Road,Galston Road,Montview Parade,Hornsby,Hornsby Heights,2077.0,Tirtl,-33.665455,151.090271
57373,72055,Windsor Road,Windsor Road,Oakland Avenue,The Hills,Baulkham Hills,2153.0,Trafficorder Loop Counter,-33.76622,150.997086
57105,53004,Pacific Highway,Pacific Highway,Mcintyre Street,Ku-Ring-Gai,Gordon,2072.0,Tirtl,-33.75317,151.151077
56855,31111,Victoria Road,Victoria Road,Mortimer Lewis Drive,Hunters Hill,Huntleys Point,2111.0,Trafficorder Dual Tube Classifier,-33.839256,151.14035
57096,51235,Victoria Road,Victoria Road,Belmore Street,Ryde,Ryde,2112.0,Tirtl,-33.81551,151.101105
55306,01004,Western Distributor,Western Distributor,Sussex Street,Sydney,Sydney,2000.0,Trafficorder Loop Counter,-33.86618,151.203201
56827,28028,Hume Highway,Hume Highway,Waterloo Road,Bankstown,Greenacre,2190.0,Trafficorder Loop Counter,-33.889046,151.060608
56729,21029,Military Road,Military Road,Watson Street,North Sydney,Neutral Bay,2089.0,Trafficorder Loop Counter,-33.829956,151.218063
57128,53209,Pacific Highway,Pacific Highway,Lucinda Avenue,Ku-Ring-Gai,Wahroonga,2076.0,Trafficorder Loop Counter,-33.718727,151.110672
57025,50001,Silverwater Road,Silverwater Road,Allambie Street,Parramatta,Rydalmere,2116.0,Trafficorder Loop Counter,-33.823917,151.051331
56918,37022,Heathcote Road,Heathcote Road,Beethoven Street,Sutherland,Engadine,2233.0,Excel Lpl,-34.072643,151.000855
57438,74224,Pennant Hills Road,Pennant Hills Road,Woodstock Road,The Hills,Carlingford,2118.0,Trafficorder Loop Counter,-33.769329,151.049728
57159,57024,Mona Vale Road,Mona Vale Road,Addison Road,Warringah,Ingleside,2101.0,Tirtl,-33.686592,151.256943
57555,88046,Bridge Street,Bridge Street,Court Street,Hawkesbury,Windsor,2756.0,Trafficorder Loop Counter,-33.605782,150.824585
56868,33013,Pacific Highway,Pacific Highway,Boundary Street,Willoughby,Roseville,2069.0,Trafficorder Dual Tube Classifier,-33.787891,151.179306
56838,29001,Homebush Bay Drive,Homebush Bay Drive,Oulton Avenue,Canada Bay,Rhodes,2138.0,Trafficorder Loop Counter,-33.836475,151.085938
56914,37001,Princes Highway,Princes Highway,Loftus Avenue,Sutherland,Loftus,2232.0,Trafficorder Loop Counter,-34.054104,151.046188
