station_key,building_count_500m,building_density_per_km2_500m,building_data_missing
57257,14,17.82535362629228,False
57052,0,0.0,True
56738,241,306.8507302811742,False
55393,805,1024.957833511806,False
99990011,0,0.0,True
57110,443,564.0451183176771,False
55383,454,578.0507533097639,False
15252030,489,622.6141373754946,False
57268,25,31.830988618379067,False
56602,53,67.48169587096362,False
15286014,15,19.098593171027442,False
57104,71,90.40000767619655,False
56959,571,727.0197800437779,False
57160,43,54.749300423612,False
55385,296,376.87890524160815,False
57012,36,45.83662361046586,False
57453,693,882.3550045014678,False
57358,16,20.371832715762604,False
15648001,14,17.82535362629228,False
57503,0,0.0,True
15934015,0,0.0,True
55411,1006,1280.8789820035738,False
57423,325,413.8028520389279,False
57234,10,12.732395447351628,False
57439,848,1079.707133935418,False
57094,104,132.41691265245692,False
55394,911,1159.9212252537332,False
56715,17,21.645072260497766,False
56744,64,81.48733086305042,False
57041,32,40.74366543152521,False
57155,45,57.29577951308232,False
57097,73,92.94648676566688,False
57108,93,118.41127766037013,False
57005,59,75.1211331393746,False
15252028,41,52.202821334141674,False
57264,319,406.1634147705169,False
56658,42,53.47606087887684,False
57367,385,490.19722472303766,False
55322,1117,1422.2085714691768,False
57359,580,738.4789359463944,False
55425,306,389.6113006889598,False
56856,6,7.639437268410976,False
57186,24,30.557749073643905,False
57342,0,0.0,True
58690,653,831.4254227120613,False
15934008,0,0.0,True
56606,404,514.3887760730057,False
57294,1,1.2732395447351628,False
58847,0,0.0,True
57224,33,42.01690497626037,False
56730,108,137.50987083139756,False
57322,510,649.352167814933,False
57293,175,222.81692032865348,False
57368,8,10.185916357881302,False
57138,345,439.2676429336311,False
56869,610,776.6761222884493,False
57324,33,42.01690497626037,False
57173,226,287.7521371101468,False
56781,11,14.00563499208679,False
15334030,0,0.0,True
56615,412,524.574692430887,False
57333,105,133.69015219719208,False
56649,33,42.01690497626037,False
15286013,48,61.11549814728781,False
56841,209,266.107064849649,False
56678,96,122.23099629457562,False
57360,15,19.098593171027442,False
57395,0,0.0,True
57106,250,318.3098861837907,False
57263,43,54.749300423612,False
56662,1,1.2732395447351628,False
57238,1,1.2732395447351628,False
15828005,39,49.65634224467134,False
15334003,340,432.90144520995534,False
57419,413,525.8479319756223,False
57426,489,622.6141373754946,False
57258,14,17.82535362629228,False
15934007,0,0.0,True
57408,55,70.02817496043394,False
56844,20,25.464790894703256,False
57047,31,39.470425886790046,False
57134,111,141.32958946560305,False
56706,480,611.1549814728781,False
57289,202,257.19438803650286,False
57083,393,500.38314108091896,False
57458,0,0.0,True
15334004,1053,1340.7212406061265,False
56369,0,0.0,True
58871,0,0.0,True
57425,482,613.7014605623484,False
15286009,17,21.645072260497766,False
57316,10,12.732395447351628,False
57354,24,30.557749073643905,False
15286007,51,64.9352167814933,False
15286011,17,21.645072260497766,False
15334016,10,12.732395447351628,False
57101,91,115.86479857089981,False
15286010,580,738.4789359463944,False
57182,201,255.92114849176772,False
56888,19,24.19155134996809,False
56748,79,100.58592403407786,False
56740,32,40.74366543152521,False
57127,40,50.92958178940651,False
56613,144,183.34649444186343,False
99990010,331,421.44228930733885,False
57290,43,54.749300423612,False
56663,31,39.470425886790046,False
57078,695,884.9014835909381,False
15286003,244,310.6704489153797,False
55432,64,81.48733086305042,False
57502,0,0.0,True
57168,7,8.91267681314614,False
56860,53,67.48169587096362,False
57300,67,85.3070494972559,False
56857,334,425.26200794154437,False
57462,12,15.278874536821952,False
15334014,0,0.0,True
