station_key,station_id,name,road_name,intersection,lga,suburb,post_code,wgs84_latitude,wgs84_longitude,poi_food_count_500m,poi_education_count_500m,poi_healthcare_count_500m,poi_public_transport_count_500m,poi_leisure_count_500m,poi_tourism_count_500m,poi_shop_count_500m,poi_data_missing
56973,43236,Fairford Road,Fairford Road,Aster Avenue,Bankstown,Bankstown,2200.0,-33.926025,151.038132,0,0,0,8,9,0,0,False
57535,87001,Great Western Highway,Great Western Highway,High Street,Penrith,Penrith,2750.0,-33.746132,150.681915,0,0,0,0,0,0,0,True
57174,60002,South Western Motorway,South Western Motorway,Lakewood Crescent,Liverpool,Moorebank,2170.0,-33.939297,150.921341,0,0,0,1,3,0,1,False
15648002,9849,The Boulevarde,The Boulevarde,Torrington Road,Strathfield,Strathfield,2135.0,-33.877975,151.093185,10,6,2,19,203,0,5,False
56916,37005,Princes Highway,Princes Highway,Yanagang Street,Sutherland,Waterfall,2233.0,-34.132504,150.993759,0,0,0,0,0,0,0,True
57377,72083,Renown Road,Renown Road,Barclay Road,The Hills,North Rocks,2151.0,-33.765114,151.009125,0,0,0,5,12,0,0,False
57250,66240,The Horsley Drive,The Horsley Drive,Fairfield Street,Fairfield,Fairfield,2165.0,-33.870174,150.96106,17,2,2,33,6,0,14,False
57305,70067,Eastern Road,Eastern Road,Westlink M7,Blacktown,Rooty Hill,2766.0,-33.771648,150.857834,2,0,0,4,32,0,1,False
57140,55049,Pittwater Road,Pittwater Road,Jenkins Street,Warringah,Collaroy,2097.0,-33.729507,151.30011,14,0,3,6,15,1,4,False
55329,02062,Enmore Road,Enmore Road,Bailey Street,Marrickville,Newtown,2042.0,-33.898201,151.177399,84,4,9,16,24,15,73,False
56951,42101,South Western Motorway,South Western Motorway,Ely Street,Bankstown,Revesby,2212.0,-33.940006,151.012375,0,1,0,15,27,0,0,False
56881,33098,Willoughby Road,Willoughby Road,Small Street,Willoughby,Willoughby,2068.0,-33.811386,151.199509,5,0,1,4,49,1,2,False
57256,66248,Warren Road,Warren Road,Smithfield Road,Fairfield,Smithfield,2164.0,-33.850235,150.944809,3,0,0,1,9,0,0,False
15286012,7163,Victoria Road,Victoria Road,Evans Street,Leichhardt,Rozelle,2039.0,-33.865181,151.171997,14,3,1,22,31,2,13,False
15334032,T0384,Bells Line Of Road,Bells Line Of Road,Sandham Road,Blue Mountains,Bell,2786.0,-33.511532,150.284225,0,0,0,0,0,0,0,True
15334006,9827,Pittwater Road,Pittwater Road,Devitt Street,Warringah,Narrabeen,2101.0,-33.719955,151.298111,7,1,0,7,16,1,12,False
56927,40041,King Georges Road,King Georges Road,Cooleen Street,Kogarah,Blakehurst,2221.0,-33.984394,151.109436,1,1,1,14,13,1,6,False
15828001,7184,Ryde Road,Ryde Road,Lady Game Drive,Ku-Ring-Gai,West Pymble,2073.0,-33.772957,151.135391,0,0,0,9,2,13,0,False
